Molecule ChEMBL ID,Molecule Name,Molecular Weight,#RO5 Violations,AlogP,Smiles,IC50
CHEMBL506871,VELIPARIB,244.3,0,1.26,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,2.9
CHEMBL5203682,,392.48,0,3.05,C[C@@H]1CN(Cc2ccc(-c3[nH]c4cc(F)cc5c4c3CCNC5=O)cc2)CCN1,2.91
CHEMBL521686,OLAPARIB,434.47,0,2.35,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,2.93
CHEMBL521686,OLAPARIB,434.47,0,2.35,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,3
CHEMBL4446105,,465.42,0,2.59,NC(=O)c1cccc2c1O/C(=C\c1ccc(C(=O)N3CCn4c(nnc4C(F)F)C3)cc1)C2=O,3
CHEMBL521686,OLAPARIB,434.47,0,2.35,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,3
CHEMBL4446105,,465.42,0,2.59,NC(=O)c1cccc2c1O/C(=C\c1ccc(C(=O)N3CCn4c(nnc4C(F)F)C3)cc1)C2=O,3.02
CHEMBL4586938,,495.5,0,2.05,Cn1cnc(-c2nnc3n2CCN(C(=O)c2ccc(/C=C4\Oc5c(C(N)=O)cccc5C4=O)cc2)C3)c1,3.3
CHEMBL4586938,,495.5,0,2.05,Cn1cnc(-c2nnc3n2CCN(C(=O)c2ccc(/C=C4\Oc5c(C(N)=O)cccc5C4=O)cc2)C3)c1,3.311
CHEMBL4450747,,469.5,0,2.6,NC(=O)c1cccc2c1O/C(=C\c1ccc(C(=O)N3CCn4c(CC5CC5)nnc4C3)cc1)C2=O,3.467
CHEMBL4450747,,469.5,0,2.6,NC(=O)c1cccc2c1O/C(=C\c1ccc(C(=O)N3CCn4c(CC5CC5)nnc4C3)cc1)C2=O,3.5
CHEMBL4061458,,437.48,0,1.94,O=C(Nc1cc(Cn2c(=O)[nH]c(=O)c3ccccc32)cnc1F)[C@H]1CCN(CC2CC2)C1,3.6
CHEMBL4539194,,487.47,0,1.83,CCOC(=O)c1nnc2n1CCN(C(=O)c1ccc(/C=C3\Oc4c(C(N)=O)cccc4C3=O)cc1)C2,3.631
CHEMBL4470724,,660.63,1,4.14,Nc1cc(C(F)(F)F)c(-c2nc3c(c(N4CCOCC4)n2)CCN(C(=O)c2cc(Cc4n[nH]c(=O)c5ccccc45)ccc2F)C3)cn1,3.631
CHEMBL4539194,,487.47,0,1.83,CCOC(=O)c1nnc2n1CCN(C(=O)c1ccc(/C=C3\Oc4c(C(N)=O)cccc4C3=O)cc1)C2,3.7
