,id,smiles
15100,A041_B341,CNC([C@H](CNC(C(CC1)CCN1c(cc1)ncc1C(N)=O)=O)NC(CCN(C(C1(CCCCC1)N1)=O)C1=O)=O)=O
33746,A092_B168,Cc(cc(cc1)Cl)c1OCC(N[C@@H](CNC(C(N1)=CC=CC1=O)=O)C(NC)=O)=O
38962,A106_B218,CCN(C(c(ccc(C(NC[C@@H](C(NC)=O)NC(c1c(C)c(ccc(C)c2)c2o1)=O)=O)c1)c1N1)=O)C1=O
8190,A023_B073,CNC([C@H](CNC(CCn1ncc(S(N)(=O)=O)c1)=O)NC(CCNC(c(cc1)ccc1[N+]([O-])=O)=O)=O)=O
13662,A038_B010,Cc1cc(C(NC[C@@H](C(NC)=O)NC(Cc(cccc2)c2OC(F)(F)F)=O)=O)nc(NN2)c1C2=O
57792,A157_B229,CCC(CC1)Cc2c1c(C(NC(c(cc1)ccc1C(NC[C@@H](C(NC)=O)NC(c1ccc(Cn3nnnc3)cc1)=O)=O)=N1)=O)c1s2
7917,A022_B169,Cc(cc(cc1)C(NC[C@@H](C(NC)=O)NC(COc(cc2)ccc2Cl)=O)=O)c1N(CCN1)C1=O
32845,A090_B005,CC(C(N1CC(NC[C@@H](C(NC)=O)NC(CC2CCCC2)=O)=O)=O)(c2ccc(C)cc2)NC1=O
46287,A126_B163,CC(C1=C(N2)N(C)NC1=O)=C(CCC(NC[C@@H](C(NC)=O)NC(Cc(ccc(Cl)c1)c1Cl)=O)=O)C2=O
7319,A020_B309,CC(CC1=C(C(NC[C@@H](C(NC)=O)NC(C2=CN=C3SC=CN3C2=O)=O)=O)NNC1=O)O
41548,A113_B221,CNC([C@H](CNC(C1=CC(C(CCC2)=O)=C2NC1=O)=O)NC(c(cc1)ccc1-n1cncc1)=O)=O
44798,A122_B150,CNC([C@H](CNS(c1cn(C)c(C(N)=O)c1)(=O)=O)NC(CCC(c1cccs1)=O)=O)=O
